groupeActivite;divisionActivite;sectionActivite
Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Fabrication de produits pharmaceutiques de base;Industrie pharmaceutique;Industrie manufacturière
Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Enseignement secondaire;Enseignement;Enseignement
Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement médico-social et social;Santé humaine et action sociale
Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Préparation de fibres textiles et filature;Fabrication de textiles;Industrie manufacturière
Location et exploitation de biens immobiliers propres ou loués;Activités immobilières;Activités immobilières
Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Extraction de minerais de métaux non ferreux;Extraction de minerais métalliques;Industries extractives
Fabrication de machines agricoles et forestières;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Autres activités de poste et de courrier;Activités de poste et de courrier;Transports et entreposage
Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités des agences de travail temporaire;Activités liées à l'emploi;Activités de services administratifs et de soutien
Fabrication d'instruments et de fournitures à usage médical et dentaire;Autres industries manufacturières;Industrie manufacturière
Terrains de camping et parcs pour caravanes ou véhicules de loisirs;Hébergement;Hébergement et restauration
Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Commerce de gros non spécialisé;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de jeux et jouets;Autres industries manufacturières;Industrie manufacturière
Réassurance;Assurance;Activités financières et d'assurance
Construction de locomotives et d'autre matériel ferroviaire roulant;Fabrication d'autres matériels de transport;Industrie manufacturière
Construction navale;Fabrication d'autres matériels de transport;Industrie manufacturière
Culture et élevage associés;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Édition et diffusion de programmes radio;Programmation et diffusion;Information et communication
Fabrication de fibres artificielles ou synthétiques;Industrie chimique;Industrie manufacturière
Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Traduction et interprétation;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Activités combinées de soutien lié aux bâtiments;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Hébergement touristique et autre hébergement de courte durée;Hébergement;Hébergement et restauration
Hébergement social pour personnes âgées ou handicapées physiques;Hébergement médico-social et social;Santé humaine et action sociale
Transports maritimes et côtiers de fret;Transports par eau;Transports et entreposage
Organisation de salons professionnels et congrès;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Débits de boissons;Restauration;Hébergement et restauration
Fabrication d'appareils ménagers;Fabrication d'équipements électriques;Industrie manufacturière
Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Arts, spectacles et activités récréatives
Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Pêche;Pêche et aquaculture;Agriculture, sylviculture et pêche
Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication d'articles en fourrure;Industrie de l'habillement;Industrie manufacturière
Fabrication de pâte à papier, de papier et de carton;Industrie du papier et du carton;Industrie manufacturière
Enseignement primaire;Enseignement;Enseignement
Enregistrement sonore et édition musicale;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Extraction de gaz naturel;Extraction d'hydrocarbures;Industries extractives
Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Construction aéronautique et spatiale;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Métallurgie;Industrie manufacturière
Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Activités spécialisées de design;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Reproduction de plantes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Réparation d'ordinateurs et d'équipements de communication;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Raffinage du pétrole;Cokéfaction et raffinage;Industrie manufacturière
Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Construction de véhicules automobiles;Industrie automobile;Industrie manufacturière
Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Activités de poste dans le cadre d'une obligation de service universel;Activités de poste et de courrier;Transports et entreposage
Fabrication d'armes et de munitions;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Activités vétérinaires;Activités vétérinaires;Activités spécialisées, scientifiques et techniques
Activités des marchands de biens immobiliers;Activités immobilières;Activités immobilières
Construction de réseaux et de lignes;Génie civil;Construction
Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Hôtels et hébergement similaire;Hébergement;Hébergement et restauration
Fabrication d'ordinateurs et d'équipements périphériques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de houille;Extraction de houille et de lignite;Industries extractives
Activités de contrôle et analyses techniques;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Commerce et réparation de motocycles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Commerce de détail de carburants en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Hébergement médicalisé;Hébergement médico-social et social;Santé humaine et action sociale
Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Activités administratives;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Activités comptables;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Activités hospitalières;Activités pour la santé humaine;Santé humaine et action sociale
Activités de soutien à l'enseignement;Enseignement;Enseignement
Activités des sociétés holding;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Fabrication d'équipements de communication;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Transports fluviaux de fret;Transports par eau;Transports et entreposage
Caisses de retraite;Assurance;Activités financières et d'assurance
Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transports aériens de passagers;Transports aériens;Transports et entreposage
Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Activités liées aux systèmes de sécurité;Enquêtes et sécurité;Activités de services administratifs et de soutien
Fabrication de machines de formage des métaux et de machines-outils;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Sidérurgie;Métallurgie;Industrie manufacturière
Chasse, piégeage et services annexes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
