superClasseCategorieJuridique
Groupement de droit privé
Société commerciale
Autre personne morale immatriculée au RCS
Entrepreneur individuel
Personne morale de droit public soumise au droit commercial
Non renseigné
Organisme privé spécialisé
Personne morale et organisme soumis au droit administratif
Personne morale de droit étranger
Groupement de droit privé non doté de la personnalité morale
Organisme de placement collectif en valeurs mobilières sans personnalité morale
