activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication de parfums et de produits pour la toilette;Fabrication de parfums et de produits pour la toilette;Fabrication de savons, de produits d'entretien et de parfums;Industrie chimique;Industrie manufacturière
Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Collecte des déchets non dangereux;Collecte des déchets non dangereux;Collecte des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Extraction de minerais de fer;Extraction de minerais de fer;Extraction de minerais de fer;Extraction de minerais métalliques;Industries extractives
Transports aériens de passagers;Transports aériens de passagers;Transports aériens de passagers;Transports aériens;Transports et entreposage
Recherche-développement en biotechnologie;Recherche-développement en biotechnologie;Recherche-développement en sciences physiques et naturelles;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Production de films institutionnels et publicitaires;Production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Forages et sondages;Forages et sondages;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Activités de radiodiagnostic et de radiothérapie;Activité des médecins spécialistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Arts du spectacle vivant;Arts du spectacle vivant;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Commerce d'électricité;Commerce d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Hébergement médicalisé pour enfants handicapés;Hébergement médicalisé;Hébergement médicalisé;Hébergement médico-social et social;Santé humaine et action sociale
Fabrication d'emballages en matières plastiques;Fabrication d'emballages en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Fabrication de papier et de carton;Fabrication de papier et de carton;Fabrication de pâte à papier, de papier et de carton;Industrie du papier et du carton;Industrie manufacturière
Location et location-bail d'articles de loisirs et de sport;Location et location-bail d'articles de loisirs et de sport;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Conseil pour les affaires et autres conseils de gestion;Conseil pour les affaires et autres conseils de gestion;Conseil de gestion;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Autres activités de nettoyage n.c.a.;Autres activités de nettoyage;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Télécommunications filaires;Télécommunications filaires;Télécommunications filaires;Télécommunications;Information et communication
Autres organisations fonctionnant par adhésion volontaire;Activités des organisations associatives n.c.a.;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Taille, façonnage et finissage de pierres;Taille, façonnage et finissage de pierres;Taille, façonnage et finissage de pierres;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;Commerce de gros de meubles, de tapis et d'appareils d'éclairage;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de meubles de cuisine;Fabrication de meubles de cuisine;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Fabrication d'autres machines-outils;Fabrication d'autres machines-outils;Fabrication de machines de formage des métaux et de machines-outils;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Désinfection, désinsectisation, dératisation;Autres activités de nettoyage;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Construction de réseaux pour fluides;Construction de réseaux pour fluides;Construction de réseaux et de lignes;Génie civil;Construction
Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Extraction de pierres, de sables et d'argiles;Autres industries extractives;Industries extractives
Fabrication de machines pour les industries textiles;Fabrication de machines pour les industries textiles;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de volailles et gibier;Commerce de gros de viandes et de produits à base de viande;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de viandes de boucherie;Commerce de gros de viandes et de produits à base de viande;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de biscuits, biscottes et pâtisseries de conservation;Fabrication de biscuits, biscottes et pâtisseries de conservation;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Étirage à froid de barres;Étirage à froid de barres;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Fabrication de fours et brûleurs;Fabrication de fours et brûleurs;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Services du feu et de secours;Services du feu et de secours;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Restauration de type rapide;Restaurants et services de restauration mobile;Restaurants et services de restauration mobile;Restauration;Hébergement et restauration
Fabrication d'éléments en béton pour la construction;Fabrication d'éléments en béton pour la construction;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Pêche en mer;Pêche en mer;Pêche;Pêche et aquaculture;Agriculture, sylviculture et pêche
Récupération de déchets triés;Récupération de déchets triés;Récupération;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Hébergement social pour handicapés physiques;Hébergement social pour personnes âgées ou handicapées physiques;Hébergement social pour personnes âgées ou handicapées physiques;Hébergement médico-social et social;Santé humaine et action sociale
Activité des économistes de la construction;Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Arts, spectacles et activités récréatives
Fabrication de produits électroniques grand public;Fabrication de produits électroniques grand public;Fabrication de produits électroniques grand public;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Gestion des bibliothèques et des archives;Gestion des bibliothèques et des archives;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Fabrication d'autres articles en papier ou en carton;Fabrication d'autres articles en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Commerce de gros (commerce interentreprises) alimentaire non spécialisé;Commerce de gros non spécialisé de denrées, boissons et tabac;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de chaussures;Fabrication de chaussures;Fabrication de chaussures;Industrie du cuir et de la chaussure;Industrie manufacturière
Fabrication d'huiles et graisses raffinées;Fabrication d'huiles et graisses;Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Travaux de plâtrerie;Travaux de plâtrerie;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'articles de sport;Fabrication d'articles de sport;Fabrication d'articles de sport;Autres industries manufacturières;Industrie manufacturière
Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Télécommunications par satellite;Télécommunications par satellite;Télécommunications par satellite;Télécommunications;Information et communication
Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;Installation de machines et d'équipements industriels;Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
Gestion de salles de spectacles;Gestion de salles de spectacles;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Autres activités de soutien aux entreprises n.c.a.;Autres activités de soutien aux entreprises n.c.a.;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Édition et distribution vidéo;Distribution de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Commerce de détail d'équipements automobiles;Commerce de détail d'équipements automobiles;Commerce d'équipements automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'articles en papier à usage sanitaire ou domestique;Fabrication d'articles en papier à usage sanitaire ou domestique;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Formation continue d'adultes;Enseignements divers;Autres activités d'enseignement;Enseignement;Enseignement
Fabrication d'aliments pour animaux de compagnie;Fabrication d'aliments pour animaux de compagnie;Fabrication d'aliments pour animaux;Industries alimentaires;Industrie manufacturière
Pratique dentaire;Pratique dentaire;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Culture de fruits tropicaux et subtropicaux;Culture de fruits tropicaux et subtropicaux;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail de maroquinerie et d'articles de voyage;Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autre transformation et conservation de légumes;Autre transformation et conservation de fruits et légumes;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Projection de films cinématographiques;Projection de films cinématographiques;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Transports ferroviaires de fret;Transports ferroviaires de fret;Transports ferroviaires de fret;Transports terrestres et transport par conduites;Transports et entreposage
Autres activités des médecins spécialistes;Activité des médecins spécialistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Location de terrains et d'autres biens immobiliers;Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Activités immobilières;Activités immobilières
Fabrication de composants électroniques;Fabrication de composants électroniques;Fabrication de composants et cartes électroniques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication d'étoffes à mailles;Fabrication d'étoffes à mailles;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Entretien corporel;Entretien corporel;Autres services personnels;Autres services personnels;Autres activités de services
Charcuterie;Préparation de produits à base de viande;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Enseignement supérieur;Enseignement supérieur;Enseignement supérieur et post-secondaire non supérieur;Enseignement;Enseignement
Fabrication de pâtes alimentaires;Fabrication de pâtes alimentaires;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Réparation de chaussures et d'articles en cuir;Réparation de chaussures et d'articles en cuir;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Extraction d'autres minerais de métaux non ferreux;Extraction d'autres minerais de métaux non ferreux;Extraction de minerais de métaux non ferreux;Extraction de minerais métalliques;Industries extractives
Fabrication de carton ondulé;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Transports urbains et suburbains de voyageurs;Transports urbains et suburbains de voyageurs;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication d'appareils électroménagers;Fabrication d'appareils électroménagers;Fabrication d'appareils ménagers;Fabrication d'équipements électriques;Industrie manufacturière
Autres travaux spécialisés de construction;Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Travaux de maçonnerie générale et gros œuvre de bâtiment;Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Métallurgie des autres métaux non ferreux;Métallurgie des autres métaux non ferreux;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Transports aériens de fret;Transports aériens de fret;Transports aériens de fret et transports spatiaux;Transports aériens;Transports et entreposage
Fabrication d'articles céramiques à usage domestique ou ornemental;Fabrication d'articles céramiques à usage domestique ou ornemental;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Élevage d'autres bovins et de buffles;Élevage d'autres bovins et de buffles;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de produits de consommation courante en matières plastiques;Fabrication d'autres articles en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Agencement de lieux de vente;Travaux de menuiserie;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'autres équipements de transport n.c.a.;Fabrication d'autres équipements de transport n.c.a.;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de pâte à papier;Fabrication de pâte à papier;Fabrication de pâte à papier, de papier et de carton;Industrie du papier et du carton;Industrie manufacturière
Autres activités récréatives et de loisirs;Autres activités récréatives et de loisirs;Activités récréatives et de loisirs;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Transformation et conservation de la viande de boucherie;Transformation et conservation de la viande de boucherie;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Commerce de détail de livres en magasin spécialisé;Commerce de détail de livres en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines d'imprimerie;Fabrication d'autres machines d'usage spécifique n.c.a.;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Culture du riz;Culture du riz;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres commerces de détail en magasin non spécialisé;Autre commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autre mise à disposition de ressources humaines;Autre mise à disposition de ressources humaines;Autre mise à disposition de ressources humaines;Activités liées à l'emploi;Activités de services administratifs et de soutien
Fabrication de fromage;Exploitation de laiteries et fabrication de fromage;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Services de déménagement;Services de déménagement;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Commerce de détail de meubles;Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Chasse, piégeage et services annexes;Chasse, piégeage et services annexes;Chasse, piégeage et services annexes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros (commerce interentreprises) de bois et de matériaux de construction;Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de verre plat;Fabrication de verre plat;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres activités auxiliaires d'assurance et de caisses de retraite;Autres activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Traitement et revêtement des métaux;Traitement et revêtement des métaux;"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Autres commerces de détail alimentaires en magasin spécialisé;Autres commerces de détail alimentaires en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Autres intermédiations monétaires;Autres intermédiations monétaires;Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Transformation et conservation de poisson, de crustacés et de mollusques;Transformation et conservation de poisson, de crustacés et de mollusques;Transformation et conservation de poisson, de crustacés et de mollusques;Industries alimentaires;Industrie manufacturière
Coiffure;Coiffure et soins de beauté;Autres services personnels;Autres services personnels;Autres activités de services
Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Entretien et réparation de véhicules automobiles légers;Entretien et réparation de véhicules automobiles;Entretien et réparation de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de préparations pharmaceutiques;Fabrication de préparations pharmaceutiques;Fabrication de préparations pharmaceutiques;Industrie pharmaceutique;Industrie manufacturière
Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;Commerce de gros d'autres machines et équipements;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Préparation industrielle de produits à base de viande;Préparation de produits à base de viande;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Travaux de démolition;Travaux de démolition;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Commerces de détail de charbons et combustibles;Autre commerce de détail de biens neufs en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Production d'autres boissons fermentées non distillées;Production d'autres boissons fermentées non distillées;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Traitement des semences;Traitement des semences;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de matériel d'installation électrique;Fabrication de matériel d'installation électrique;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de machines agricoles et forestières;Fabrication de machines agricoles et forestières;Fabrication de machines agricoles et forestières;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Autre création artistique;Création artistique;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Commerce d'autres véhicules automobiles;Commerce d'autres véhicules automobiles;Commerce de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerces de détail d'optique;Autre commerce de détail de biens neufs en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de fleurs et plantes;Commerce de gros de fleurs et plantes;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transports fluviaux de fret;Transports fluviaux de fret;Transports fluviaux de fret;Transports par eau;Transports et entreposage
Administration de marchés financiers;Administration de marchés financiers;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Découpage, emboutissage;"Forge, emboutissage, estampage; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de lait liquide et de produits frais;Exploitation de laiteries et fabrication de fromage;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Commerce de détail d'habillement en magasin spécialisé;Commerce de détail d'habillement en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'équipements aérauliques et frigorifiques industriels;Fabrication d'équipements aérauliques et frigorifiques industriels;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Culture de fruits oléagineux;Culture de fruits oléagineux;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Transports spatiaux;Transports spatiaux;Transports aériens de fret et transports spatiaux;Transports aériens;Transports et entreposage
Activités d'ordre public et de sécurité;Activités d'ordre public et de sécurité;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication d'articles métalliques ménagers;Fabrication d'autres produits métalliques n.c.a.;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Entreposage et stockage frigorifique;Entreposage et stockage;Entreposage et stockage;Entreposage et services auxiliaires des transports;Transports et entreposage
Fabrication de produits amylacés;Fabrication de produits amylacés;"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Commerce de détail de produits à base de tabac en magasin spécialisé;Commerce de détail de produits à base de tabac en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Construction de locomotives et d'autre matériel ferroviaire roulant;Construction de locomotives et d'autre matériel ferroviaire roulant;Construction de locomotives et d'autre matériel ferroviaire roulant;Fabrication d'autres matériels de transport;Industrie manufacturière
Élevage d'ovins et de caprins;Élevage d'ovins et de caprins;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de bière;Fabrication de bière;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Télécommunications sans fil;Télécommunications sans fil;Télécommunications sans fil;Télécommunications;Information et communication
Promotion immobilière d'autres bâtiments;Promotion immobilière;Promotion immobilière;Construction de bâtiments;Construction
Recherche-développement en sciences humaines et sociales;Recherche-développement en sciences humaines et sociales;Recherche-développement en sciences humaines et sociales;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Édition de chaînes thématiques;Programmation de télévision et télédiffusion;Programmation de télévision et télédiffusion;Programmation et diffusion;Information et communication
Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;Commerce de gros d'articles d'horlogerie et de bijouterie;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Pâtisserie;Fabrication de pain et de pâtisserie fraîche;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;Activités administratives;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Tierce maintenance de systèmes et d'applications informatiques;Conseil informatique;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Construction d'ouvrages maritimes et fluviaux;Construction d'ouvrages maritimes et fluviaux;Construction d'autres ouvrages de génie civil;Génie civil;Construction
Nettoyage courant des bâtiments;Nettoyage courant des bâtiments;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Fabrication de matériel médico-chirurgical et dentaire;Fabrication d'instruments et de fournitures à usage médical et dentaire;Fabrication d'instruments et de fournitures à usage médical et dentaire;Autres industries manufacturières;Industrie manufacturière
Fabrication de non-tissés, sauf habillement;Fabrication de non-tissés, sauf habillement;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Transports maritimes et côtiers de fret;Transports maritimes et côtiers de fret;Transports maritimes et côtiers de fret;Transports par eau;Transports et entreposage
Centrales d'achat de carburant;Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location et location-bail de machines et équipements agricoles;Location et location-bail de machines et équipements agricoles;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Métallurgie;Industrie manufacturière
Gestion d'installations informatiques;Gestion d'installations informatiques;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Vente à distance sur catalogue général;Vente à distance;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités hospitalières;Activités hospitalières;Activités hospitalières;Activités pour la santé humaine;Santé humaine et action sociale
Réparation d'équipements de communication;Réparation d'équipements de communication;Réparation d'ordinateurs et d'équipements de communication;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Activités des organisations politiques;Activités des organisations politiques;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
