activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Services auxiliaires des transports aériens;Services auxiliaires des transports aériens;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Post-production de films cinématographiques, de vidéo et de programmes de télévision;Post-production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Commerce de gros (commerce interentreprises) de produits à base de viande;Commerce de gros de viandes et de produits à base de viande;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'éléments en matières plastiques pour la construction;Fabrication d'éléments en matières plastiques pour la construction;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Fabrication d'équipements hydrauliques et pneumatiques;Fabrication d'équipements hydrauliques et pneumatiques;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Assurance vie;Assurance vie;Assurance;Assurance;Activités financières et d'assurance
Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.;Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Commerce de détail de textiles en magasin spécialisé;Commerce de détail de textiles en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
