sectionActivite
Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Agriculture, sylviculture et pêche
Activités extra-territoriales
Non renseigné
Activités de services administratifs et de soutien
Arts, spectacles et activités récréatives
Activités financières et d'assurance
"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Hébergement et restauration
"Commerce; réparation d'automobiles et de motocycles"
Santé humaine et action sociale
Enseignement
Construction
Transports et entreposage
Autres activités de services
"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Information et communication
Industrie manufacturière
Activités spécialisées, scientifiques et techniques
Administration publique
Industries extractives
Activités immobilières
