classeActivite;groupeActivite;divisionActivite;sectionActivite
Autres activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Réparation de produits électroniques grand public;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Fabrication de parquets assemblés;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Autres services d'information n.c.a.;Autres services d'information;Services d'information;Information et communication
Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Industrie manufacturière
Fabrication de chaussures;Fabrication de chaussures;Industrie du cuir et de la chaussure;Industrie manufacturière
Travaux de revêtement des sols et des murs;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'autres équipements de transport n.c.a.;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de fibres de verre;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de détail d'appareils électroménagers en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fonderie d'autres métaux non ferreux;Fonderie;Métallurgie;Industrie manufacturière
Activités de banque centrale;Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Activités de soutien au spectacle vivant;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Activités de clubs de sports;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Frappe de monnaie;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Fabrication d'autres produits céramiques à usage technique;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de gros de machines-outils;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'éléments en plâtre pour la construction;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de vêtements de dessus;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Transports ferroviaires de fret;Transports ferroviaires de fret;Transports terrestres et transport par conduites;Transports et entreposage
Activités des parcs d'attractions et parcs à thèmes;Activités récréatives et de loisirs;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Activités des voyagistes;Activités des agences de voyage et voyagistes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Production de combustibles gazeux;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Activités des agences de travail temporaire;Activités des agences de travail temporaire;Activités liées à l'emploi;Activités de services administratifs et de soutien
Fabrication d'instruments de musique;Fabrication d'instruments de musique;Autres industries manufacturières;Industrie manufacturière
Fabrication de machines pour les industries textiles;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités des agences de presse;Autres services d'information;Services d'information;Information et communication
Réparation d'ouvrages en métaux;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication d'emballages en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres hébergements;Autres hébergements;Hébergement;Hébergement et restauration
Fabrication de pain et de pâtisserie fraîche;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Fabrication de gaz industriels;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Commerce de gros d'autres machines et équipements de bureau;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication et façonnage d'autres articles en verre, y compris verre technique;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Services de déménagement;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication d'autres textiles techniques et industriels;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Autre action sociale sans hébergement n.c.a.;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Reproduction d'enregistrements;Reproduction d'enregistrements;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Autres activités récréatives et de loisirs;Activités récréatives et de loisirs;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Services des traiteurs;Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Métallurgie du cuivre;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Autres cultures permanentes;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Organisation de jeux de hasard et d'argent;Arts, spectacles et activités récréatives
Post-production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de gros d'autres produits intermédiaires;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Services du feu et de secours;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Commerce de gros de café, thé, cacao et épices;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de bicyclettes et de véhicules pour invalides;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de pâte à papier;Fabrication de pâte à papier, de papier et de carton;Industrie du papier et du carton;Industrie manufacturière
Commerce de détail d'articles de sport en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines diverses d'usage général;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Autres activités liées au sport;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Hébergement social pour personnes âgées ou handicapées physiques;Hébergement social pour personnes âgées ou handicapées physiques;Hébergement médico-social et social;Santé humaine et action sociale
Intermédiaires du commerce en machines, équipements industriels, navires et avions;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de pesticides et d'autres produits agrochimiques;Fabrication de pesticides et d'autres produits agrochimiques;Industrie chimique;Industrie manufacturière
Commerce de gros de parfumerie et de produits de beauté;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des marchands de biens immobiliers;Activités des marchands de biens immobiliers;Activités immobilières;Activités immobilières
Transports routiers de fret;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication de papiers peints;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Réparation d'équipements de communication;Réparation d'ordinateurs et d'équipements de communication;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Commerce de gros de machines pour l'extraction, la construction et le génie civil;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Fabrication d'emballages en bois;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Autres activités extractives n.c.a.;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Commerce d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication d'autres produits chimiques inorganiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Autres services de réservation et activités connexes;Autres services de réservation et activités connexes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Commerce de gros de fruits et légumes;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de tourbe;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Activités de soutien aux cultures;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Activités des agences de voyage;Activités des agences de voyage et voyagistes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Récupération de déchets triés;Récupération;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication d'huiles essentielles;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
"Apprêt et tannage des cuirs; préparation et teinture des fourrures";"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Industrie du cuir et de la chaussure;Industrie manufacturière
Étirage à froid de barres;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Fabrication d'articles céramiques à usage domestique ou ornemental;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Transports fluviaux de passagers;Transports fluviaux de passagers;Transports par eau;Transports et entreposage
Commerce de gros non spécialisé de denrées, boissons et tabac;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de verre creux;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Pêche en eau douce;Pêche;Pêche et aquaculture;Agriculture, sylviculture et pêche
Fabrication d'autres articles en caoutchouc;Fabrication de produits en caoutchouc;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Extraction de pierres, de sables et d'argiles;Autres industries extractives;Industries extractives
Commerce de gros d'équipements automobiles;Commerce d'équipements automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Traitement de données, hébergement et activités connexes;"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
Commerce de détail d'équipements automobiles;Commerce d'équipements automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de carrosseries et remorques;Fabrication de carrosseries et remorques;Industrie automobile;Industrie manufacturière
Assurance vie;Assurance;Assurance;Activités financières et d'assurance
Fonderie d'acier;Fonderie;Métallurgie;Industrie manufacturière
Fabrication d'ordinateurs et d'équipements périphériques;Fabrication d'ordinateurs et d'équipements périphériques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication d'articles en fourrure;Fabrication d'articles en fourrure;Industrie de l'habillement;Industrie manufacturière
Commerce de détail de matériels de télécommunication en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Façonnage et transformation du verre plat;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication d'autres produits céramiques;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Préparation de produits à base de viande;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Production d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Commerce de détail de jeux et jouets en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'outillage;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de mortiers et bétons secs;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités des sièges sociaux;Activités des sièges sociaux;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Édition et diffusion de programmes radio;Édition et diffusion de programmes radio;Programmation et diffusion;Information et communication
Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Enseignement primaire;Enseignement primaire;Enseignement;Enseignement
Transformation et conservation de la viande de volaille;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Agences immobilières;Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Production de métaux précieux;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Réparation d'autres équipements;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication d'isolateurs et pièces isolantes en céramique;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication d'appareils ménagers non électriques;Fabrication d'appareils ménagers;Fabrication d'équipements électriques;Industrie manufacturière
Location et location-bail de voitures et de véhicules automobiles légers;Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Traduction et interprétation;Traduction et interprétation;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Activités des agences de publicité;Publicité;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Fabrication de cacao, chocolat et de produits de confiserie;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Exploitation de laiteries et fabrication de fromage;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Traitement et élimination des déchets non dangereux;Traitement et élimination des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Élaboration et transformation de matières nucléaires;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Travaux de démolition;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Commerce de détail d'habillement en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres commerces de détail sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de caoutchouc synthétique;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Transports par conduites;Transports par conduites;Transports terrestres et transport par conduites;Transports et entreposage
Réparation de machines et équipements mécaniques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Intermédiaires du commerce en produits divers;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Hébergement touristique et autre hébergement de courte durée;Hébergement touristique et autre hébergement de courte durée;Hébergement;Hébergement et restauration
Construction de véhicules automobiles;Construction de véhicules automobiles;Industrie automobile;Industrie manufacturière
Fabrication d'autres produits chimiques n.c.a.;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Activités de soutien aux autres industries extractives;Activités de soutien aux autres industries extractives;Services de soutien aux industries extractives;Industries extractives
Transports maritimes et côtiers de passagers;Transports maritimes et côtiers de passagers;Transports par eau;Transports et entreposage
Fabrication de plats préparés;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Transformation du thé et du café;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Activités des organisations professionnelles;Activités des organisations économiques, patronales et professionnelles;Activités des organisations associatives;Autres activités de services
Autres services de restauration;Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Travaux de plâtrerie;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'autres articles de robinetterie;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités de soutien à l'extraction d'hydrocarbures;Activités de soutien à l'extraction d'hydrocarbures;Services de soutien aux industries extractives;Industries extractives
Production d'autres boissons fermentées non distillées;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Gestion des bibliothèques et des archives;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Activités de contrôle et analyses techniques;Activités de contrôle et analyses techniques;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Reliure et activités connexes;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication d'aliments pour animaux de ferme;Fabrication d'aliments pour animaux;Industries alimentaires;Industrie manufacturière
Construction de routes et autoroutes;Construction de routes et de voies ferrées;Génie civil;Construction
Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Enseignement secondaire général;Enseignement secondaire;Enseignement;Enseignement
Activité des médecins spécialistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Activités d'enquête;Activités d'enquête;Enquêtes et sécurité;Activités de services administratifs et de soutien
Location et location-bail de machines et équipements pour la construction;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Enseignement de disciplines sportives et d'activités de loisirs;Autres activités d'enseignement;Enseignement;Enseignement
Recherche-développement en biotechnologie;Recherche-développement en sciences physiques et naturelles;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Commerce de détail de carburants en magasin spécialisé;Commerce de détail de carburants en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de la vigne;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Entreposage et stockage;Entreposage et stockage;Entreposage et services auxiliaires des transports;Transports et entreposage
Commerce de détail de fruits et légumes en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication de margarine et graisses comestibles similaires;Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Usinage;"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication d'autres machines d'usage spécifique n.c.a.;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Location et location-bail de machines et équipements agricoles;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Transports urbains et suburbains de voyageurs;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Réparation d'ordinateurs et d'équipements périphériques;Réparation d'ordinateurs et d'équipements de communication;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Commerce de détail de produits à base de tabac en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres machines-outils;Fabrication de machines de formage des métaux et de machines-outils;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Programmation informatique;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Installation électrique;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Transformation et conservation de la viande de boucherie;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Promotion immobilière;Promotion immobilière;Construction de bâtiments;Construction
Démantèlement d'épaves;Récupération;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Enseignement post-secondaire non supérieur;Enseignement supérieur et post-secondaire non supérieur;Enseignement;Enseignement
Portails Internet;"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
Autres activités de télécommunication;Autres activités de télécommunication;Télécommunications;Information et communication
Fabrication d'armes et de munitions;Fabrication d'armes et de munitions;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication d'articles de voyage, de maroquinerie et de sellerie;"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Industrie du cuir et de la chaussure;Industrie manufacturière
Fabrication de coutellerie;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Enseignements divers;Autres activités d'enseignement;Enseignement;Enseignement
Commerce d'autres véhicules automobiles;Commerce de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Aquaculture en mer;Aquaculture;Pêche et aquaculture;Agriculture, sylviculture et pêche
Fabrication de cidre et de vins de fruits;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Fabrication de briques, tuiles et produits de construction, en terre cuite;Fabrication de matériaux de construction en terre cuite;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités spécialisées de design;Activités spécialisées de design;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Métallurgie des autres métaux non ferreux;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Fabrication de fibres artificielles ou synthétiques;Fabrication de fibres artificielles ou synthétiques;Industrie chimique;Industrie manufacturière
Fabrication de produits explosifs;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Hébergement médicalisé;Hébergement médicalisé;Hébergement médico-social et social;Santé humaine et action sociale
Construction d'ouvrages maritimes et fluviaux;Construction d'autres ouvrages de génie civil;Génie civil;Construction
Activités comptables;Activités comptables;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Commerce de combustibles gazeux par conduites;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Location et location-bail de matériels de transport aérien;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication de piles et d'accumulateurs électriques;Fabrication de piles et d'accumulateurs électriques;Fabrication d'équipements électriques;Industrie manufacturière
Autres commerces de détail hors magasin, éventaires ou marchés;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de plantes à fibres;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Construction d'autres ouvrages de génie civil n.c.a.;Construction d'autres ouvrages de génie civil;Génie civil;Construction
Réassurance;Réassurance;Assurance;Activités financières et d'assurance
Action sociale sans hébergement pour jeunes enfants;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Activités des agences de placement de main-d'œuvre;Activités des agences de placement de main-d'œuvre;Activités liées à l'emploi;Activités de services administratifs et de soutien
Autres activités de nettoyage des bâtiments et nettoyage industriel;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Autre distribution de crédit;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Culture d'agrumes;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros d'appareils électroménagers;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
