classeActivite;groupeActivite;divisionActivite;sectionActivite
Services de soutien à l'exploitation forestière;Services de soutien à l'exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Fabrication d'autres meubles;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Services auxiliaires des transports terrestres;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités d'architecture;Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Imprimerie de journaux;Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication d'autres textiles n.c.a.;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de radiateurs et de chaudières pour le chauffage central;Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de motocycles;Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Collecte des déchets non dangereux;Collecte des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Travail des grains;"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Coiffure et soins de beauté;Autres services personnels;Autres services personnels;Autres activités de services
Gestion des sites et monuments historiques et des attractions touristiques similaires;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Horlogerie;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie";Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de verre plat;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
